id,lat,long
5033,30.430782,-97.70031
4812,30.782089,-97.852337
1419,30.192514,-98.064321
1032,30.744464,-97.349428
1053,30.405887,-98.02832
1038,30.713284,-97.917453
3579,30.341644,-97.662746
6552,30.523132,-97.773649
1321,30.020471,-98.153274
4810,30.774649,-97.876885
3723,30.308504,-97.757933
792,29.947011,-97.918627
5834,30.717641,-97.442871
6882,30.464663,-97.592898
7066,30.632857,-97.987369
5794,30.605047,-97.32757
4808,30.740692,-97.896759
6767,30.088953,-97.734376
3398,30.166184,-97.660261
4142,30.405927,-97.745147
5814,30.591588,-97.296832
5706,30.642893,-97.457134
994,30.65527,-97.346524
4836,30.85163,-97.82009
5631,30.526755,-97.250475
1966,29.953695,-97.808346
7080,30.618272,-97.852284
5402,30.5257,-97.629185
3633,30.334649,-97.749143
1841,29.969026,-97.989404
5188,30.479359,-97.685253
5132,30.452635,-97.665576
2840,30.202928,-97.639066
1979,29.946666,-97.879885
2119,30.068251,-97.873629
751,30.072636,-98.204517
2409,30.169231,-97.825103
2806,30.299934,-97.648122
6041,30.11947,-97.6633
1830,30.028376,-97.926097
2560,30.236651,-97.792052
5646,30.487698,-97.377489
7466,30.293874,-97.922855
5198,30.518073,-97.689224
4349,30.324318,-97.672454
7149,30.72177,-97.53191
453,30.251548,-97.750714
1355,30.027515,-98.128455
4671,30.481923,-97.804055
2501,30.220703,-97.836875
769,30.191844,-98.103685
5519,30.693886,-97.66954
5413,30.447385,-97.535671
4610,30.661745,-97.672155
5245,30.480946,-97.669564
3877,30.308504,-97.716731
2055,29.988217,-97.872226
112,30.527329,-97.737027
5641,30.451534,-97.391454
5535,30.755718,-97.633313
5661,30.610478,-97.389218
4628,30.557239,-97.945845
4633,30.477924,-97.901209
862,30.668363,-97.686088
1611,29.877335,-97.929068
2709,30.081814,-97.665963
5336,30.633116,-97.671605
2610,30.35662,-97.832265
5849,30.520289,-97.191544
5508,30.774769,-97.754241
2445,30.202191,-97.804482
4482,30.182514,-97.540951
1298,30.129515,-98.173062
1233,30.405328,-97.66238
2634,30.290013,-97.819354
7310,30.268203,-97.494741
877,30.831092,-97.612867
614,30.230896,-97.570828
586,30.081642,-97.956989
3574,30.350669,-97.692827
2979,30.204917,-97.756918
1401,30.254291,-98.082014
1772,30.142173,-97.728856
734,30.055404,-97.91209
2264,30.230666,-97.931553
4453,30.358571,-97.670468
7272,30.096113,-97.780599
1332,29.987964,-98.111264
2668,30.328719,-97.790419
1384,30.178501,-98.232143
2222,30.2734,-97.862617
665,30.52616,-97.553431
6744,30.630232,-97.641384
1004,30.575191,-97.510374
1447,29.830284,-97.96121
1251,30.37458,-98.041928
2235,30.215547,-98.02279
