,lat,long,async_cluster,async_congest_cluster
394,30.278174,-97.705986,570,516
395,30.280929,-97.693411,1642,1871
396,30.283335,-97.680221,1820,1316
397,30.273431,-97.678189,1726,1438
398,30.271453,-97.658848,338,1288
399,30.258811,-97.625628,1634,1920
400,30.275689,-97.620276,1355,949
401,30.261466,-97.586183,1079,884
402,30.271327,-97.762089,900,285
403,30.267524,-97.752761,1897,1570
404,30.266418,-97.749402,1017,1938
405,30.265461,-97.74621,1445,1447
406,30.264483,-97.742416,1299,1447
407,30.26393,-97.739258,1028,1087
408,30.259453,-97.741275,1743,1087
409,30.256691,-97.729877,1695,16
410,30.261901,-97.728685,1178,827
411,30.26616,-97.727423,282,865
412,30.267962,-97.722003,1688,144
413,30.271109,-97.724436,1138,715
414,30.272163,-97.71745,892,458
415,30.274171,-97.70587,208,60
416,30.26789,-97.709691,208,561
417,30.267381,-97.717513,1234,1829
418,30.264093,-97.717284,1688,144
419,30.258199,-97.7169,822,286
420,30.25203,-97.722292,1695,564
421,30.255176,-97.707214,822,286
422,30.261117,-97.705899,758,1418
423,30.267416,-97.701265,1133,1530
424,30.275623,-97.694831,595,1333
425,30.269491,-97.693985,1376,486
426,30.257898,-97.696217,1111,1418
427,30.250378,-97.698255,1729,1004
428,30.258971,-97.683975,1498,1880
429,30.252393,-97.675294,326,1388
430,30.292047,-97.826542,821,1410
431,30.28751,-97.822447,129,1410
432,30.279794,-97.813683,1109,242
433,30.273914,-97.80577,117,594
434,30.281114,-97.79798,1576,1910
435,30.274313,-97.785524,1522,97
436,30.269571,-97.770276,1207,1318
437,30.26379,-97.760172,188,733
438,30.260843,-97.753126,1748,1938
439,30.260153,-97.747288,1772,1279
440,30.256479,-97.743315,714,793
441,30.242798,-97.723846,1839,920
442,30.236178,-97.713168,1949,82
443,30.237023,-97.699893,406,1716
444,30.231273,-97.690977,333,685
445,30.247651,-97.650627,1782,1758
446,30.583031,-97.893907,1517,1188
447,30.223538,-97.612743,1682,1055
448,30.267841,-97.795414,1127,165
449,30.263639,-97.781663,509,1623
450,30.254015,-97.779408,1074,1414
451,30.258468,-97.76513,228,1938
452,30.254583,-97.756802,1282,1813
453,30.251548,-97.750714,1714,1813
454,30.249125,-97.74487,713,793
455,30.245798,-97.737968,871,768
456,30.241422,-97.733277,503,1975
457,30.235658,-97.72957,469,930
458,30.228055,-97.720917,1188,82
459,30.218025,-97.701277,333,1062
460,30.268739,-97.812312,746,1968
461,30.262467,-97.80009,1558,724
462,30.257482,-97.807261,1558,406
463,30.247294,-97.799248,598,999
464,30.258186,-97.789672,899,482
465,30.250663,-97.791535,1074,1414
466,30.240428,-97.794477,357,1037
467,30.236384,-97.787768,535,74
468,30.23376,-97.779795,444,256
469,30.243976,-97.774117,1616,1960
470,30.251311,-97.772077,344,1727
471,30.246241,-97.762422,1134,699
472,30.240171,-97.766963,542,620
473,30.23169,-97.771333,1559,1930
474,30.227782,-97.764302,101,1841
475,30.235703,-97.759859,224,620
476,30.243373,-97.754573,1823,207
477,30.241194,-97.744361,1771,1428
478,30.238356,-97.748602,856,1712
479,30.231751,-97.751904,130,1460
480,30.223802,-97.757112,127,711
481,30.218675,-97.746881,1835,254
482,30.22543,-97.739635,365,993
483,30.226569,-97.732462,763,1633
484,30.219904,-97.725743,1987,1403
485,30.274722,-97.824877,43,1855
486,30.255952,-97.814911,1862,357
487,30.235591,-97.807971,751,475
488,30.227237,-97.795844,1750,28
489,30.222209,-97.784683,886,867
490,30.219404,-97.77595,124,1931
491,30.219174,-97.770121,1425,1833
492,30.213479,-97.762511,1266,1895
493,30.203546,-97.749497,1806,333
494,30.211973,-97.741725,608,208
495,30.199342,-97.739267,29,167
