,0
2154,112
2155,113
2156,113
2157,211
2158,211
2159,95
2160,95
2161,141
2162,141
2163,112
2164,201
2165,198
2166,198
2167,201
2168,120
2169,34
2170,34
2171,30
2172,30
2173,144
2174,144
2175,120
2176,43
2177,153
2178,153
2179,153
2180,153
2181,14
2182,14
2183,43
2184,112
2185,153
2186,153
2187,112
2188,112
2189,210
2190,210
2191,0
2192,0
2193,112
2194,112
2195,86
2196,86
2197,112
2198,242
2199,248
2200,248
2201,237
2202,237
2203,17
2204,17
2205,59
2206,59
2207,242
2208,120
2209,199
2210,199
2211,120
2212,120
2213,105
2214,105
2215,131
2216,131
2217,105
2218,105
2219,93
2220,93
2221,120
2222,172
2223,60
2224,60
2225,172
2226,14
2227,153
2228,112
2229,43
2230,43
2231,112
2232,43
2233,243
2234,243
2235,34
2236,34
2237,218
2238,218
2239,43
2240,120
2241,24
2242,24
2243,120
2244,120
2245,160
2246,160
2247,120
2248,172
2249,248
2250,248
2251,48
2252,48
2253,248
2254,248
2255,0
2256,0
2257,73
2258,73
2259,172
2260,19
2261,153
2262,153
2263,246
2264,246
2265,153
2266,153
2267,19
2268,19
2269,105
2270,105
2271,9
2272,9
2273,105
2274,105
2275,19
2276,19
2277,169
2278,169
2279,19
2280,120
2281,6
2282,6
2283,194
2284,194
2285,59
2286,59
2287,116
2288,116
2289,61
2290,61
2291,120
2292,19
2293,221
2294,221
2295,19
2296,19
2297,19
2298,19
2299,136
2300,136
2301,227
2302,227
2303,227
2304,227
2305,227
2306,227
2307,227
2308,227
2309,136
2310,136
2311,219
2312,219
2313,219
2314,219
2315,219
2316,219
2317,205
2318,205
2319,205
2320,205
2321,178
2322,178
2323,178
2324,178
2325,19
2326,19
2327,19
2328,19
2329,248
2330,248
2331,0
2332,0
2333,248
2334,248
2335,219
2336,219
2337,229
2338,229
2339,19
2340,120
2341,205
2342,205
2343,120
2344,19
2345,173
2346,173
2347,243
2348,243
2349,173
2350,173
2351,19
2352,19
2353,173
2354,173
2355,248
2356,248
2357,103
2358,103
2359,19
2360,120
2361,136
2362,136
2363,219
2364,219
2365,136
2366,136
2367,120
2368,120
2369,59
2370,59
2371,248
2372,248
2373,59
2374,59
2375,194
2376,194
2377,60
2378,60
2379,120
2380,120
2381,218
2382,218
2383,32
2384,32
2385,195
2386,195
2387,120
2388,19
2389,71
2390,71
2391,173
2392,173
2393,99
2394,99
2395,19
2396,19
2397,107
2398,107
2399,128
2400,128
2401,19
2402,19
2403,173
2404,173
2405,19
2406,120
2407,24
2408,24
2409,24
2410,24
2411,24
2412,24
2413,192
2414,192
2415,120
2416,199
2417,99
2418,99
2419,237
2420,237
2421,237
2422,237
2423,103
2424,103
2425,205
2426,205
2427,199
2428,199
2429,169
2430,169
2431,100
2432,100
2433,61
2434,61
2435,131
2436,131
2437,199
2438,199
2439,128
2440,128
2441,199
2442,242
2443,160
2444,160
2445,179
2446,179
2447,152
2448,152
2449,176
2450,176
2451,242
2452,199
2453,14
2454,14
2455,14
2456,14
2457,153
2458,153
2459,199
2460,199
2461,153
2462,153
2463,199
2464,120
2465,30
2466,30
2467,24
2468,24
2469,82
2470,82
2471,120
2472,199
2473,248
2474,248
2475,199
2476,120
2477,150
2478,150
2479,160
2480,160
2481,221
2482,221
2483,120
2484,199
2485,71
2486,71
2487,99
2488,99
2489,117
2490,117
2491,30
2492,30
2493,199
2494,120
2495,60
2496,60
2497,19
2498,19
2499,219
2500,219
2501,120
2502,201
2503,43
2504,43
2505,121
2506,121
2507,49
2508,49
2509,201
2510,199
2511,153
2512,153
2513,199
2514,107
2515,117
2516,117
2517,48
2518,48
2519,59
2520,59
2521,107
2522,199
2523,173
2524,173
2525,199
2526,199
2527,14
2528,14
2529,159
2530,159
2531,199
2532,120
2533,134
2534,134
2535,144
2536,144
2537,178
2538,178
2539,120
2540,120
2541,59
2542,59
2543,192
2544,192
2545,120
2546,199
2547,144
2548,144
2549,199
2550,199
2551,54
2552,54
2553,199
2554,120
2555,207
2556,207
2557,43
2558,43
2559,121
2560,121
2561,41
2562,41
2563,120
2564,199
2565,19
2566,19
2567,0
2568,0
2569,9
2570,9
2571,199
2572,201
2573,106
2574,106
2575,154
2576,154
2577,201
2578,120
2579,117
2580,117
2581,201
2582,201
2583,117
2584,117
2585,120
2586,48
2587,126
2588,126
2589,9
2590,9
2591,126
2592,126
2593,48
2594,48
2595,66
2596,66
2597,48
2598,120
2599,169
2600,169
2601,144
2602,144
2603,169
2604,169
2605,134
2606,134
2607,134
2608,134
2609,120
2610,48
2611,115
2612,115
2613,48
2614,68
2615,245
2616,245
2617,68
2618,48
2619,34
2620,34
2621,136
2622,136
2623,34
2624,34
2625,199
2626,199
2627,107
2628,107
2629,48
2630,48
2631,93
2632,93
2633,203
2634,203
2635,93
2636,93
2637,48
2638,48
2639,6
2640,6
2641,169
2642,169
2643,131
2644,131
2645,48
2646,48
2647,229
2648,229
2649,144
2650,144
2651,192
2652,192
2653,48
2654,50
2655,131
2656,131
2657,219
2658,219
2659,61
2660,61
2661,50
2662,120
2663,107
2664,107
2665,34
2666,34
2667,120
2668,172
2669,107
2670,107
2671,245
2672,245
2673,210
2674,210
2675,117
2676,117
2677,172
2678,48
2679,169
2680,169
2681,219
2682,219
2683,32
2684,32
2685,48
2686,48
2687,185
2688,185
2689,14
2690,14
2691,48
2692,48
2693,153
2694,153
2695,99
2696,99
2697,153
2698,153
2699,246
2700,246
2701,48
2702,48
2703,153
2704,153
2705,48
2706,120
2707,207
2708,207
2709,247
2710,247
2711,152
2712,152
2713,93
2714,93
2715,53
2716,53
2717,120
2718,48
2719,245
2720,245
2721,48
2722,48
2723,66
2724,66
2725,160
2726,160
2727,66
2728,66
2729,48
2730,134
2731,153
2732,153
2733,134
2734,134
2735,153
2736,153
2737,134
2738,134
2739,229
2740,229
2741,134
2742,134
2743,144
2744,144
2745,219
2746,219
2747,134
2748,48
2749,105
2750,105
2751,105
2752,105
2753,136
2754,136
2755,219
2756,219
2757,202
2758,202
2759,48
2760,48
2761,99
2762,99
2763,48
2764,4
2765,65
2766,65
2767,4
2768,48
2769,9
2770,9
2771,9
2772,9
2773,144
2774,144
2775,48
2776,120
2777,248
2778,248
2779,28
2780,28
2781,131
2782,131
2783,120
2784,48
2785,178
2786,178
2787,247
2788,247
2789,32
2790,32
2791,48
2792,48
2793,41
2794,41
2795,48
2796,134
2797,171
2798,171
2799,134
2800,134
2801,135
2802,135
2803,179
2804,179
2805,205
2806,205
2807,179
2808,179
2809,134
2810,172
2811,204
2812,204
2813,172
2814,134
2815,211
2816,211
2817,108
2818,108
2819,43
2820,43
2821,134
2822,120
2823,244
2824,244
2825,120
2826,134
2827,43
2828,43
2829,152
2830,152
2831,53
2832,53
2833,134
2834,134
2835,88
2836,88
2837,207
2838,207
2839,121
2840,121
2841,207
2842,207
2843,134
2844,134
2845,86
2846,86
2847,134
2848,50
2849,205
2850,205
2851,50
2852,134
2853,48
2854,48
2855,219
2856,219
2857,219
2858,219
2859,103
2860,103
2861,219
2862,219
2863,103
2864,103
2865,134
2866,134
2867,134
2868,134
2869,134
2870,134
2871,218
2872,218
2873,218
2874,218
2875,218
2876,218
2877,218
2878,218
2879,218
2880,218
2881,116
2882,116
2883,116
2884,116
2885,134
2886,134
2887,134
2888,134
2889,134
2890,134
2891,9
2892,9
2893,144
2894,144
2895,93
2896,93
2897,202
2898,202
2899,93
2900,93
2901,4
2902,4
2903,4
2904,4
2905,4
2906,4
2907,9
2908,9
2909,134
2910,134
2911,134
2912,134
2913,43
2914,43
2915,136
2916,136
2917,48
2918,48
2919,210
2920,210
2921,134
2922,134
2923,169
2924,169
2925,202
2926,202
2927,219
2928,219
2929,134
2930,134
2931,62
2932,62
2933,205
2934,205
2935,134
2936,50
2937,117
2938,117
2939,164
2940,164
2941,0
2942,0
2943,50
2944,134
2945,168
2946,168
2947,119
2948,119
2949,151
2950,151
2951,22
2952,22
2953,190
2954,190
2955,134
2956,134
2957,141
2958,141
2959,134
2960,50
2961,231
2962,231
2963,50
2964,134
2965,207
2966,207
2967,134
2968,120
2969,73
2970,73
2971,48
2972,48
2973,73
2974,73
2975,104
2976,104
2977,0
2978,0
2979,120
2980,134
2981,219
2982,219
2983,119
2984,119
2985,189
2986,189
2987,134
2988,120
2989,248
2990,248
2991,248
2992,248
2993,65
2994,65
2995,120
2996,134
