head,tail,origin_addr,dest_addr,distance,duration,traffic_duration,speed_mph,
1262,708,"630 E Hopkins St, San Marcos, TX 78666, USA","1025 Field St, San Marcos, TX 78666, USA",1175,228,243,11.41290984,1.065789474
708,1262,"1025 Field St, San Marcos, TX 78666, USA","630 E Hopkins St, San Marcos, TX 78666, USA",1502,209,216,16.4043318,1.033492823
1282,912,"201 E Hutchison St, San Marcos, TX 78666, USA","313 E Hutchison St, San Marcos, TX 78666, USA",143,33,41,8.069285714,1.242424242
912,1282,"313 E Hutchison St, San Marcos, TX 78666, USA","201 E Hutchison St, San Marcos, TX 78666, USA",143,41,31,10.5909375,0.756097561
1283,912,"308 E Hopkins St, San Marcos, TX 78666, USA","313 E Hutchison St, San Marcos, TX 78666, USA",206,95,102,4.74,1.073684211
912,1283,"313 E Hutchison St, San Marcos, TX 78666, USA","308 E Hopkins St, San Marcos, TX 78666, USA",206,76,78,6.18,1.026315789
1265,587,"777 E Hopkins St, San Marcos, TX 78666, USA","200 Springtown Way, San Marcos, TX 78666, USA",3229,297,351,21.74071023,1.181818182
587,1265,"200 Springtown Way, San Marcos, TX 78666, USA","777 E Hopkins St, San Marcos, TX 78666, USA",721,200,202,8.417586207,1.01
1579,720,"218 Moore St, San Marcos, TX 78666, USA","545 W Hutchison St, San Marcos, TX 78666, USA",203,35,31,15.0346875,0.885714286
720,1579,"545 W Hutchison St, San Marcos, TX 78666, USA","218 Moore St, San Marcos, TX 78666, USA",203,45,42,11.18860465,0.933333333
1580,720,"537 W Hopkins St, San Marcos, TX 78666, USA","545 W Hutchison St, San Marcos, TX 78666, USA",280,88,87,7.540909091,0.988636364
720,1580,"545 W Hutchison St, San Marcos, TX 78666, USA","537 W Hopkins St, San Marcos, TX 78666, USA",280,63,61,10.70322581,0.968253968
1584,720,"537 Lindsey St, San Marcos, TX 78666, USA","545 W Hutchison St, San Marcos, TX 78666, USA",345,67,66,12.20373134,0.985074627
720,1584,"545 W Hutchison St, San Marcos, TX 78666, USA","537 Lindsey St, San Marcos, TX 78666, USA",345,68,67,12.02426471,0.985294118
